id,content,label
0,    STRUCTURED DATA FACILITATES EFFICIENT ANALYSIS.  ,unlabeled
1,  the quick brown fox jumps over the lazy dog.    ,unlabeled
2,  Structured data facilitates efficient analysis.   ,unlabeled
3,    FastAPI makes building APIs easy and fast.    ,unlabeled
4,Data cleaning is a crucial step in the pipeline.   ,unlabeled
5,      PYTHON IS A VERSATILE PROGRAMMING LANGUAGE.  !!!,unlabeled
6,  FastAPI makes building APIs easy and fast.       ,unlabeled
7,  Quality data leads to better performance.  ,unlabeled
8,      A clean dataset is a happy dataset.    ,unlabeled
9,MACHINE LEARNING MODELS REQUIRE CLEAN DATA.,unlabeled
10,the quick brown fox jumps over the lazy dog.???,unlabeled
11,  Natural language processing is a field of AI.  ,unlabeled
12,      PYTHON IS A VERSATILE PROGRAMMING LANGUAGE.     ### ,unlabeled
13,    Quality data leads to better performance.      ,unlabeled
14,  A clean dataset is a happy dataset.    ,unlabeled
15,    Natural language processing is a field of AI.  ,unlabeled
16,    Python is a versatile programming language.      ...,unlabeled
17,      FastAPI makes building APIs easy and fast.     ,unlabeled
18,Artificial intelligence is transforming the world.,unlabeled
19,Python is a versatile programming language.   ,unlabeled
20,    Python is a versatile programming langage.         ,unlabeled
21,Python is a versatile programming language.,unlabeled
22,      The quick brown fox jumps over the lazy dog.    ---,unlabeled
23,FastAPI makes building APIs easy and fast. @@@ ,unlabeled
24,Quality data leads to better performance.   ,unlabeled
25,      Data cleaning is a crucial step in teh pipeline.      ???,unlabeled
26,Natural language processing is a field of AI.,unlabeled
27,      Natural language processing is a feild of AI.      ,unlabeled
28,  Structured data facilitates efficient analysis.   ,unlabeled
29,    Python is a versatile programming language.  ,unlabeled
30,Quality data leads to better performance....,unlabeled
31,  DATA CLEANING IS A CRUCIAL STEP IN THE PIPELINE.   @@@ ,unlabeled
32,      data cleaning is a crucial step in the pipeline.      ,unlabeled
33,  Quality data leads to better performance.    ,unlabeled
34,Quality data leads to better performance.,unlabeled
35,Artificial intelligence is transforming the world.???,unlabeled
36,      Machine learning models require clean data.    ,unlabeled
37,  Structured data facilitates efficient analysis.  ...,unlabeled
38,  A clean dataset is a happy dataset.      ,unlabeled
39,Natural language processing is a field of AI.   ,unlabeled
40,"  A clean dataset is a happy dataset.      

",unlabeled
41,      Machine learning models require clean data.    !!!,unlabeled
42,"STRUCTURED DATA FACILITATES EFFICIENT ANALYSIS.

",unlabeled
43,  The quik brown fox jumps over the lazy dog.  ,unlabeled
44,  A clean dataset is a happy dataset.   ,unlabeled
45,    STRUCTURED DATA FACILITATES EFFICIENT ANALYSIS.    ,unlabeled
46,      Natural langage processing is a field of AI.   @@@ ,unlabeled
47,      A clean dataset is a happy dataset.      ,unlabeled
48,Quality data leads to better performance.,unlabeled
49,QUALITY DATA LEADS TO BETTER PERFORMANCE....,unlabeled
50,Quality data leads to better performance.,unlabeled
51,data cleaning is a crucial step in the pipeline. ,unlabeled
52,  FastAPI makes building APIs easy and fast.     ### ,unlabeled
53,  The quik brown fox jumps over the lazy dog.      ,unlabeled
54,  Machine learning models require clean data.    ,unlabeled
55,  PYTHON IS A VERSATILE PROGRAMMING LANGUAGE.    ,unlabeled
56,a clean dataset is a happy dataset.,unlabeled
57,  Natural langage processing is a field of AI.    ,unlabeled
58,      The quick brown fox jumps over the lazy dog.    ,unlabeled
59,  FastAPI makes building APIs easy and fast.      ,unlabeled
60,  Machine learning models require clean data.       ,unlabeled
61,Data cleaning is a crucial step in the pipeline.   ,unlabeled
62,      A clean dataset is a happy dataset.     ### ,unlabeled
63,      A clean dataset is a happy dataset.       ### ,unlabeled
64,  Machine learning models require clean data.    ,unlabeled
65,"  ARTIFICIAL INTELLIGENCE IS TRANSFORMING THE WORLD.  

",unlabeled
66,  Structured data facilitates efficient analysis.  ,unlabeled
67,Data cleaning is a crucial step in the pipeline.,unlabeled
68,Natural language processing is a field of AI.,unlabeled
69,    Natural langage processing is a field of AI.      ,unlabeled
70,  THE QUICK BROWN FOX JUMPS OVER THE LAZY DOG.       ### ,unlabeled
71,  Machine learning models require clean data.    ,unlabeled
72,      Data cleaning is a crucial step in the pipeline.    ,unlabeled
73,    Natural language processing is a feild of AI.    ,unlabeled
74,Data cleaning is a crucial step in the pipeline.,unlabeled
75,      Artificial intelligence is transforming teh world.         ,unlabeled
76,A clean dataset is a happy dataset. @@@ ,unlabeled
77,  DATA CLEANING IS A CRUCIAL STEP IN THE PIPELINE.  ???,unlabeled
78,Structured data facilitates efficient analysis.   ,unlabeled
79,Quality data leads to better performance.   ,unlabeled
80,  Structured data facilitates efficient analysis.    ,unlabeled
81,  A clean dataset is a happy dataset.    !!!,unlabeled
82,    FastAPI makes building APIs easy and fast.  ,unlabeled
83,  PYTHON IS A VERSATILE PROGRAMMING LANGUAGE.      !!!,unlabeled
